112816 263397473.1530
112575 47923 807.4480
107223 1660 807.4540
40905 55756 807.5380
85636 42361 807.5770
28195 16969 807.5830
10397 23786 807.6210
53502 121386 807.6230
50842 69775 807.6570
127161 20863 807.6610
18353 113384 807.6860
66971 49344 807.6910
93027 107710 807.7570
5637 44715 807.7590
77193 118081 807.7600
85703 87481 807.7810
19410 27390 807.7970
19784 52981 807.8370
12866 110290 807.8420
24727 28564 807.8550
121289 41399 807.8580
24918 113936 807.8800
102448 45230 807.8870
43479 88332 807.8990
61243 112383 807.9510
57670 111798 807.9560
109350 52606 807.9670
15916 40024 807.9890
77890 73807 808.0490
41772 57857 808.1030
24683 107867 808.1570
110585 53770 808.1860
115247 6303 808.2010
98412 81114 808.2080
60290 108277 808.2540
42465 107190 808.2760
31925 20145 808.3350
28091 115433 808.4040
99895 84361 808.4050
99259 97902 808.4100
78754 103889 808.4870
21793 27088 808.5260
21840 111575 808.5520
29652 6420 808.5660
32784 113365 808.5670
75543 49089 808.5940
115459 58714 808.5950
19283 11322 808.6080
48039 19861 808.6100
21681 22054 808.6290
34842 97404 808.7610
81966 21721 808.7980
104970 22 808.8120
72985 118078 808.8230
57634 14988 808.8390
31427 107386 808.9240
79529 96741 808.9270
16413 112367 809.0720
29866 108371 809.1340
13767 81715 809.2260
105478 91181 809.2420
11972 113690 809.2820
25408 110381 809.3050
87661 91637 809.3290
57787 19095 809.3300
100738 16931 809.3910
75818 21433 809.4070
103168 3718 809.4280
52687 42763 809.4290
78006 6761 809.5700
36048 35542 809.5850
32236 3325 809.6140
89539 98870 809.6540
83076 129096 809.8160
12553 102364 809.8490
93881 24148 809.8750
56495 33227 809.8790
41134 105614 809.9510
104171 54884 809.9810
69603 40981 810.0400
27753 70386 810.0900
4253 33723 810.0980
7606 102187 810.2480
22001 65134 810.2520
59554 63707 810.3420
43385 60948 810.3750
105065 43476 810.4170
109557 54460 810.4520
103118 99052 810.5040
89960 93347 810.5560
95350 70399 810.5820
47615 70966 810.5840
4582 72001 810.5950
103580 122120 810.6490
27208 19538 810.6920
83726 6285 810.7120
88174 84234 810.7120
69432 111213 810.7170
44772 107059 810.7260
122944 95462 810.7900
77410 38626 810.8190
80744 25192 810.8340
73427 6533 810.8370
32868 39149 810.9270
94511 78655 810.9380
13210 75574 810.9630
73231 54550 811.0020
4524 110444 811.0280
89951 14292 811.0660
65462 55083 811.0670
90872 107880 811.0810
6007 54494 811.1620
111300 3770 811.1760
82700 80783 811.1840
73459 30942 811.2040
63099 2372 811.2980
10457 68730 811.3630
46287 39241 811.3860
103107 44960 811.4090
26850 97876 811.4860
114651 73194 811.5250
75118 18650 811.5900
79234 34572 811.6280
12781 1372 811.6550
91662 91564 811.6590
106406 23252 811.6820
74746 121393 811.7290
106245 54646 811.7450
81768 2263 811.7580
125704 119350 811.7580
16088 29226 811.7660
53625 128485 811.8350
72666 75623 811.8350
44360 72036 812.0250
128577 18133 812.0310
49985 88245 812.0430
107290 31468 812.0500
102539 89281 812.0970
9374 65911 812.1140
14653 20241 812.1280
57869 116033 812.2000
68120 61310 812.2180
7500 6061 812.2400
74124 79415 812.2700
44588 112594 812.2800
100018 108085 812.3170
89695 58674 812.3340
40865 117971 812.3650
98095 86647 812.3680
90635 93495 812.3810
80611 83459 812.4520
115079 17910 812.6160
21809 59982 812.6400
100606 72214 812.6580
121641 84689 812.6930
71292 57961 812.7160
13330 7778 812.7410
38707 13822 812.7440
5140 111062 812.7650
67785 125800 812.7810
67788 63060 812.8350
53899 107366 812.8490
56824 106467 812.8510
107946 63151 812.8730
102976 21364 812.8800
91360 16989 812.9420
107089 57497 812.9480
108664 62073 813.0290
55929 12237 813.0940
51577 26826 813.1520
67245 23169 813.1970
19371 108546 813.2040
106598 107163 813.2560
85304 71362 813.2800
22641 116236 813.3000
85265 15477 813.3460
122013 90667 813.3740
79973 118656 813.4580
40925 6543 813.4640
102447 57129 813.4770
1879 46179 813.4790
117856 128780 813.4870
37242 101303 813.4960
97999 75959 813.5000
88928 30788 813.5420
101843 23793 813.5450
45615 62035 813.5740
6537 59210 813.5810
369 29273 813.5950
48151 90932 813.6600
99636 90506 813.6700
28072 20121 813.6730
80944 108022 813.6820
41509 49688 813.7340
51022 101640 813.7370
60918 20509 813.7660
112724 55387 813.7810
59771 99696 813.8170
70487 90319 813.9050
73142 126813 813.9210
42843 86262 813.9680
89125 39656 813.9940
45083 128526 814.0110
101549 20801 814.0150
69430 95261 814.0830
6621 50307 814.1090
57428 124094 814.1380
86587 92611 814.1490
94220 111195 814.1580
82723 82849 814.1830
40630 16495 814.1880
11219 50304 814.1990
72433 23406 814.3190
55347 87370 814.3280
10036 117668 814.4290
103281 99168 814.4840
18938 4025 814.5000
110690 35166 814.5140
72936 3626 814.5330
32919 2176 814.5930
13508 103099 814.6100
112394 71808 814.7120
38450 87604 814.7480
33322 93816 814.7580
53628 83690 814.7910
41087 25754 814.8140
97666 48274 814.8230
66318 3972 814.8610
29903 60128 814.8940
53069 44264 814.9180
87516 39782 814.9680
4209 83685 815.1490
7026 10753 815.1850
71308 7640 815.1970
59440 41315 815.1980
79105 27895 815.2550
62653 66260 815.2870
51713 129075 815.3150
126243 29967 815.3220
118365 106560 815.3580
107592 120377 815.3720
122850 47452 815.4550
107313 10031 815.4590
109161 34943 815.5290
14821 61358 815.5300
62667 39746 815.5670
55928 88122 815.5730
112843 97381 815.5830
43100 96085 815.5840
97878 29393 815.6620
73372 112721 815.7190
82937 69199 815.7600
88216 18186 815.7660
118698 40343 815.7820
80252 13995 815.8100
20184 13389 815.8870
106657 12451 815.8890
50204 6269 815.9890
82534 42378 816.0060
1913 78289 816.0320
116068 98615 816.0830
121964 119850 816.1540
111990 19849 816.1710
6961 95519 816.1790
9638 75444 816.2070
10374 76897 816.2410
80912 17946 816.3030
122358 125986 816.3270
39699 127907 816.3970
82458 2829 816.4210
19466 99753 816.4320
42680 107396 816.4460
34995 53707 816.5040
36476 56976 816.5040
70497 55901 816.5230
120905 102045 816.5240
46031 103754 816.5340
96148 1460 816.5420
71100 49992 816.5750
71841 14154 816.6740
118042 16297 816.7200
107016 95240 816.7530
115515 28263 816.7580
116113 36588 816.7720
24096 90689 816.8230
16599 66043 816.8470
59839 56514 816.8470
22458 109608 816.9050
25350 103240 816.9430
122064 96203 816.9440
4280 127936 816.9910
89697 18683 817.0020
16284 11965 817.0490
79976 47879 817.1420
7642 248 817.1650
92171 89462 817.1710
82553 111454 817.1930
60274 104020 817.2510
91521 125640 817.2720
58205 28741 817.3220
67533 51710 817.4080
3441 15429 817.4480
128679 22151 817.4480
79374 103757 817.4970
97600 57216 817.5140
108810 67389 817.5270
87121 113933 817.5870
116159 44874 817.6220
22931 16436 817.6500
36833 107468 817.6770
89884 57524 817.7000
51316 70594 817.7540
112754 85179 817.8150
25045 104308 817.8290
62224 99960 817.8320
127673 12718 817.8670
23983 53284 817.9450
69989 54342 817.9760
126701 22011 818.0220
26288 96815 818.0790
69922 83068 818.1480
81164 31305 818.2730
80729 1254 818.3200
18016 106555 818.3430
79585 158 818.3490
123539 59927 818.4230
99078 90665 818.4460
112609 82899 818.5150
34953 81821 818.5420
112836 122981 818.5460
65211 53531 818.6070
87582 3654 818.6130
20167 86441 818.6530
116777 17098 818.6620
80921 18398 818.6700
104482 94840 818.6860
67685 53054 818.7330
103714 30657 818.7640
44877 92746 818.7900
122001 118434 818.8220
29753 83106 818.8660
94589 94940 818.9420
14980 84092 818.9810
92976 54737 818.9940
44646 126166 819.0460
126194 7795 819.0850
122612 54355 819.0940
103637 62676 819.1850
105736 85159 819.2210
71362 39544 819.2250
75242 43216 819.2440
118293 60270 819.2860
115222 76777 819.2980
104998 32403 819.3200
18032 86317 819.3210
9134 100352 819.3390
72421 94506 819.3550
35788 126977 819.3850
26861 12417 819.3920
77953 39000 819.3930
44854 26038 819.4080
43283 103610 819.4640
103207 25757 819.4970
90208 79486 819.5140
44889 126980 819.5720
74951 9595 819.5960
21838 106880 819.6730
101531 59445 819.7100
7553 66701 819.7410
28527 66514 819.7640
91506 87058 819.7880
18958 117970 819.9520
119471 47843 819.9810
20939 58435 820.0000
43593 23813 820.0240
40353 81909 820.0920
26715 24783 820.1110
11823 18807 820.1670
28416 107573 820.1680
78077 101319 820.1790
17628 65267 820.2130
81719 58723 820.2510
72655 90744 820.2560
40349 111131 820.2680
34383 15983 820.3380
99007 44930 820.3820
85515 15224 820.4080
119026 112973 820.4390
26889 48082 820.4480
78458 101090 820.4930
80657 122462 820.4950
105112 94904 820.4990
113440 115139 820.5410
14258 67982 820.5440
7133 79168 820.5820
39735 34962 820.6310
98998 127630 820.6400
25847 44048 820.6730
42818 114834 820.7000
26278 1294 820.7010
10531 111838 820.7080
75615 37768 820.7380
50940 40337 820.7740
71300 3924 820.8840
100085 56011 820.8940
72673 83579 820.9090
111327 103774 820.9680
15901 4094 820.9880
60054 117747 821.0020
126751 15935 821.0120
80422 37312 821.0320
38140 128516 821.0560
102209 30653 821.0660
34130 4672 821.0760
28432 80201 821.0800
98999 27997 821.0970
38621 10353 821.1110
14733 80579 821.1200
66580 23442 821.1230
53290 60363 821.1910
65193 49975 821.2140
13216 103760 821.2690
9755 119415 821.2790
42568 85694 821.3070
87123 128669 821.3310
96848 87642 821.3730
78564 118082 821.4410
73290 107311 821.4460
72869 34716 821.4570
32757 97728 821.5410
106112 120493 821.5550
88804 68742 821.5950
129184 76459 821.6170
88955 81081 821.6410
58653 24773 821.7320
101143 61204 821.7360
123922 117682 821.8000
31828 114630 821.8070
20606 54395 821.8590
43372 114488 821.9290
52537 128735 821.9410
117565 58826 821.9950
3537 21232 822.0350
63063 81796 822.0540
15916 24771 822.0880
65986 124320 822.1130
13170 4475 822.1150
114719 53824 822.1180
109357 61704 822.1300
28115 52111 822.1390
10103 92199 822.1730
115475 103354 822.1950
37758 12658 822.2230
36372 90703 822.2310
24307 68503 822.2380
94437 35028 822.2420
65996 123712 822.2520
98212 32863 822.2570
14410 42316 822.2750
21627 49773 822.2860
2573 32575 822.3020
45806 119171 822.3040
42995 21900 822.3320
37608 41711 822.3410
38340 121405 822.3450
107504 110078 822.3700
35634 59649 822.3920
119668 114375 822.4050
90869 56607 822.4100
119634 57056 822.5100
82966 27334 822.5170
113063 25781 822.5770
97144 51536 822.5850
10299 13755 822.5990
122081 120000 822.6430
1941 67527 822.7250
108123 55162 822.8090
41726 43307 822.8350
61207 81964 822.8870
53681 51304 822.8900
75870 119872 822.8920
27352 45590 822.9030
113865 61635 822.9040
82891 96304 822.9800
38863 96891 822.9830
60469 99111 822.9900
16135 55775 823.0110
50180 117639 823.0630
102409 44148 823.1000
87461 22870 823.1090
111112 113325 823.1370
38746 98993 823.1580
119144 25363 823.1700
29779 108616 823.1900
35100 49748 823.2240
11535 43060 823.2300
62195 38221 823.2320
102635 80466 823.2330
64003 20222 823.2990
45902 90514 823.3030
115841 39600 823.3180
115398 28409 823.3450
98094 125273 823.3460
60170 83931 823.3680
24827 23907 823.4440
34553 123176 823.4490
29394 12843 823.4910
5016 84360 823.4920
35245 56908 823.4950
66651 82183 823.5120
110432 90953 823.5210
78182 66701 823.5440
71827 72639 823.5600
50344 50077 823.5630
16254 56811 823.5640
44325 20367 823.5830
39611 20232 823.5890
35799 95315 823.6070
89828 41199 823.6080
31903 6070 823.6140
40939 14638 823.6160
13547 39605 823.6780
54869 117041 823.7540
29263 72145 823.8030
63404 26715 823.8540
109987 9367 823.8870
116906 94464 824.0000
119387 101987 824.0830
104239 54723 824.1230
49922 36579 824.2500
45337 21922 824.2570
87038 40946 824.2730
110667 380 824.3250
126016 80046 824.3340
83116 61387 824.4330
80456 118705 824.5040
91105 57380 824.5050
67651 111559 824.5260
107112 95523 824.5370
11995 64233 824.5420
33797 72817 824.6040
103791 116697 824.6110
123848 56868 824.6140
33465 32837 824.7020
88009 76074 824.7040
129096 22110 824.7310
58053 11739 824.8290
101471 73922 824.8490
99841 78507 824.9280
46646 87189 824.9570
100320 46931 824.9640
72553 14497 824.9700
75682 53531 824.9810
118503 104948 824.9980
10188 100550 825.0000
116468 25315 825.0700
85946 45503 825.0730
60596 42632 825.0940
40824 114489 825.1100
94786 8038 825.1320
56546 73930 825.1340
90966 12404 825.1470
71092 13170 825.2370
42676 42794 825.2370
110239 87302 825.3760
39454 74676 825.4230
79104 83944 825.4270
67239 26639 825.4340
80756 23524 825.4660
61864 109688 825.4670
83266 5726 825.5460
36418 89143 825.5550
93812 110066 825.5830
112450 31071 825.5920
72943 116051 825.6520
975 8428 825.7130
95234 38621 825.7300
42548 78421 825.7500
120453 1331 825.8040
2461 15716 825.8060
107605 12723 825.8120
4673 56624 825.8300
118196 7541 825.8440
91422 109470 825.8730
61796 61412 825.8810
114075 98431 825.9110
116996 55325 825.9260
42190 20535 825.9360
68829 126055 825.9780
84308 31550 826.0180
113729 10127 826.0450
112990 65075 826.0560
121788 75127 826.0610
32089 105019 826.1300
113243 11125 826.1490
81343 115266 826.1500
73482 128761 826.1510
558 27681 826.1700
92781 116952 826.2400
79681 777 826.2990
122068 62721 826.3020
53777 98761 826.3240
120475 29634 826.3360
14991 100624 826.3580
58896 53645 826.3990
62760 111081 826.4660
89259 128925 826.4800
47820 46088 826.5550
119758 119760 826.5820
43107 15469 826.6110
33117 66353 826.6320
57821 15519 826.6380
89896 34299 826.7220
110138 3431 826.8000
99831 50005 826.8080
35717 22544 826.8130
68529 106950 826.8570
4173 114732 826.8640
30023 86243 826.9150
116759 99632 826.9450
119663 125850 826.9610
10022 96029 827.0500
73889 77326 827.0550
4077 51032 827.1420
2064 53095 827.1510
99745 67683 827.1890
26047 119590 827.2010
37693 9832 827.2100
96949 79977 827.2190
2032 109602 827.2360
44700 21776 827.2470
77788 58185 827.2780
3303 32160 827.2820
59847 126186 827.3200
23969 126964 827.3450
90672 15506 827.3630
106460 18531 827.3790
22902 97594 827.4330
62320 125810 827.4400
93162 105075 827.4590
96194 124666 827.4640
72530 43402 827.4940
51323 20486 827.5020
93479 15992 827.5430
21297 26175 827.5530
80584 86719 827.6320
23627 40337 827.6830
5184 14229 827.6930
74820 36433 827.7190
26812 119346 827.7550
109695 61379 827.7560
79135 29022 827.7600
11393 13909 827.7610
88027 19883 827.8190
70147 45199 827.8190
121692 126606 827.8520
95585 84057 827.8750
15479 36901 827.9790
8052 35456 827.9940
105806 80074 827.9970
66606 114228 828.0080
112343 76594 828.0140
67310 117613 828.0200
116712 127974 828.0280
20714 13723 828.0480
24818 111132 828.1170
103271 20749 828.1180
60115 95196 828.1270
17522 51954 828.1600
42533 62856 828.1820
121229 88144 828.2590
66481 46998 828.3040
39096 106184 828.3050
73982 77782 828.3120
52680 9087 828.3150
58167 43936 828.4150
122511 70762 828.4400
111885 11362 828.5150
79744 41438 828.5230
119756 17344 828.5370
33600 49740 828.6100
1869 81140 828.7260
4257 88440 828.7420
93871 24572 828.7420
70727 7995 828.7600
31996 70213 828.7800
63166 16830 828.7950
35796 34011 828.7970
15587 90463 828.8350
54280 1453 828.9140
56649 39438 828.9380
99672 62865 829.0280
51845 94903 829.0400
89517 35798 829.0690
28911 127550 829.0760
69411 109137 829.1090
101455 31666 829.1130
46182 20333 829.1340
75329 14605 829.1440
55958 117376 829.1470
30772 61286 829.1490
55466 65705 829.1770
102970 91145 829.1810
51523 73586 829.2020
26031 8170 829.2090
87608 94056 829.2500
86155 6189 829.3100
125221 83585 829.3210
97768 78172 829.3240
40371 116764 829.3580
11479 61867 829.3890
110672 121419 829.4290
99069 103696 829.4440
96590 3710 829.4580
39528 49725 829.4940
75247 128808 829.5070
89839 47903 829.5190
128518 121662 829.5190
51068 114479 829.5280
105234 22771 829.5770
62543 47593 829.5830
117792 18262 829.5900
7656 4597 829.5950
57999 82634 829.6040
48497 95175 829.6190
96699 94041 829.6270
53949 88382 829.6380
62614 113149 829.6960
9105 68667 829.7050
84040 119687 829.7260
481 70678 829.8100
76818 57353 829.8350
21525 59535 829.8360
51380 10199 829.8650
101674 15747 829.8690
61200 92024 829.9610
83692 14430 829.9990
81321 96810 830.0220
89730 73915 830.0240
89139 10599 830.1010
85145 69075 830.1850
27012 90531 830.1890
56412 117057 830.1990
46940 122319 830.2300
68131 81518 830.2630
94790 33762 830.2680
20826 102643 830.3010
26782 44783 830.3590
17191 40792 830.4130
66715 125251 830.4690
26284 8071 830.4800
90643 10687 830.4800
54253 32704 830.4910
41707 119841 830.5270
121496 46873 830.5780
44302 52170 830.5930
53223 52862 830.6030
118615 116168 830.6200
28863 31096 830.7180
36571 117162 830.7470
42717 45638 830.8140
78070 32440 830.8230
22592 50334 830.8280
14873 116891 830.8700
83729 35422 831.0340
22420 91605 831.0380
108752 27884 831.1130
36052 90930 831.1320
109571 63880 831.1500
51995 78164 831.1540
56401 70678 831.1700
22122 104817 831.2860
103710 48992 831.3810
31058 33859 831.3970
25768 4007 831.3990
26311 50699 831.4670
61901 35171 831.4940
40730 95513 831.5050
75738 80541 831.5610
18914 93544 831.5860
79578 55083 831.6570
78123 118545 831.7070
39120 122807 831.7240
75855 129115 831.7320
103484 102388 831.7670
25649 49443 831.7770
15255 102713 831.7790
68530 66510 831.8890
103259 47144 831.9000
52780 35227 831.9360
107316 101311 831.9450
62898 82498 832.0160
47619 128718 832.0400
34807 63925 832.1000
31841 69066 832.1710
73223 942 832.1810
27017 66767 832.2020
45968 29547 832.2370
81727 4940 832.2600
127997 16412 832.3310
51449 23280 832.3840
89430 110659 832.3940
42441 105642 832.4030
20436 10223 832.4070
7526 41453 832.4210
128502 116847 832.4350
59551 209 832.4400
75060 25920 832.4800
17846 44847 832.5170
86094 3400 832.5240
54445 8930 832.5610
94023 85297 832.5770
60833 7187 832.5780
39075 50116 832.6780
109479 63151 832.6970
45459 435 832.7170
56680 93290 832.8150
101115 110605 832.9020
49539 25653 832.9390
101985 112011 832.9450
84013 81579 832.9550
20573 52331 832.9760
79078 94440 833.0310
34115 119475 833.1380
116225 120236 833.1380
76448 80072 833.1450
37488 101775 833.1740
108365 89592 833.2210
26301 94236 833.2250
79388 92462 833.2460
71482 36759 833.2490
18373 64190 833.4140
27834 119800 833.4330
121564 81218 833.4390
81425 72783 833.4660
38474 67431 833.4760
12164 127780 833.4800
43059 15741 833.4800
51262 3370 833.4950
77227 34983 833.5900
48679 72239 833.6170
39713 56360 833.6320
71014 27776 833.6590
3468 58802 833.7210
59944 91705 833.7240
108710 27332 833.7410
5024 18905 833.7800
2354 18190 833.8970
57287 78688 833.9150
78383 116684 833.9350
37381 34681 833.9440
22906 122766 833.9700
86850 102566 833.9790
6853 113561 834.0270
110671 34745 834.0360
102098 115890 834.0990
58997 29206 834.1000
76033 106559 834.1220
51585 121572 834.1750
37334 45774 834.2230
120824 8764 834.2450
85394 46568 834.2820
128103 52000 834.3060
126154 79512 834.3170
2381 80719 834.3290
38707 97409 834.3420
34420 107443 834.4160
86605 93691 834.4390
62049 116517 834.4510
105086 122501 834.5080
111079 54710 834.5170
88137 13512 834.5320
36760 50364 834.5770
84488 72510 834.6140
22055 123681 834.6480
91690 27522 834.6570
34144 85044 834.6930
83411 74058 834.7520
53845 32702 834.7830
4098 72645 834.8050
36543 79109 834.8200
16315 75210 834.8340
28952 17274 834.9000
90961 21405 834.9280
99405 18817 834.9860
82557 30034 835.0080
119074 37453 835.1010
37507 126950 835.1300
39028 125766 835.1430
98358 121328 835.1480
75306 92172 835.1570
61860 127725 835.2470
28522 38347 835.3030
72842 95864 835.3070
29189 30090 835.3160
65911 24089 835.4810
84296 51506 835.5110
69029 86981 835.5550
71503 83793 835.6020
17548 41908 835.6340
9460 45337 835.6820
126720 73173 835.6880
68878 126942 835.6930
8177 111268 835.7840
15416 52412 835.8430
54402 39043 835.8470
121432 94589 835.8480
99456 120009 835.8650
22960 127692 835.8670
28007 95957 835.8950
4691 126487 835.9000
118372 104418 835.9120
49402 93193 836.0080
64970 60322 836.0540
13245 51867 836.0620
55772 88736 836.0700
111979 114648 836.0910
21485 28302 836.1440
59415 122346 836.1530
127113 76888 836.1620
48307 2490 836.1930
43019 88580 836.2170
111489 5449 836.2210
53521 28610 836.2360
64843 78363 836.2780
39258 89966 836.2900
79429 18979 836.3600
91354 99925 836.3850
68467 63671 836.4050
22712 35205 836.4330
91747 10525 836.4640
25107 105063 836.5790
31802 117448 836.5870
110709 6490 836.6190
68719 6603 836.6710
118909 39197 836.7220
49618 32470 836.8240
27396 62556 836.8280
32705 53477 836.9300
72304 121225 836.9520
118744 30281 837.0060
22281 104704 837.0300
50758 51252 837.0690
100586 37995 837.0880
51249 111905 837.1310
33759 13978 837.1720
123821 118843 837.2090
7715 115566 837.2140
71193 66022 837.2520
101806 33520 837.2660
57212 69143 837.2720
125720 39417 837.2950
65454 114515 837.3210
108148 91831 837.3510
46261 84718 837.4920
55449 10664 837.5370
24090 87391 837.5990
77489 78688 837.6300
90920 115415 837.6710
98259 47891 837.6760
23188 108639 837.6850
85733 72235 837.7200
105603 5400 837.7280
79271 102704 837.7700
114001 47026 837.7730
32789 11872 837.7800
43595 25566 837.7950
96454 4127 837.8220
81937 600 837.8760
13801 126296 837.9040
31634 17296 837.9460
14950 88673 837.9480
81745 127860 837.9710
93285 20391 837.9740
55267 29231 838.0350
36569 18142 838.0450
59437 114053 838.1140
115975 83112 838.1620
81041 23777 838.2220
125083 29946 838.2260
126843 66600 838.2980
85444 102595 838.3200
30594 124845 838.3610
50912 41939 838.4050
77363 60293 838.4250
61721 21474 838.4370
84511 123850 838.4450
11525 41510 838.4590
54663 80497 838.4690
53337 102574 838.4820
74489 6788 838.5040
54500 73902 838.5190
113469 54660 838.5470
56621 27733 838.5590
17520 28982 838.5710
46227 81736 838.6000
42445 24718 838.6180
5676 14992 838.6270
127714 99933 838.7030
5052 53636 838.7890
7698 105643 838.8120
71956 71304 838.8380
51164 34331 838.8670
105403 46851 838.8740
18680 4787 838.8820
41744 11851 838.9480
63148 50741 838.9500
118923 127703 838.9670
96852 26539 839.0200
33049 85261 839.0270
46595 68631 839.0360
84125 97002 839.0420
61476 111752 839.0450
70951 108421 839.0710
50040 48995 839.1140
12718 24894 839.1150
106224 47326 839.1200
19336 1573 839.1350
40067 28329 839.1660
128980 86870 839.1680
47323 57140 839.1810
15215 66055 839.1840
97090 60514 839.2120
47540 10874 839.2390
119543 73974 839.2610
60018 80806 839.3050
73850 99869 839.3070
33478 4602 839.3480
6841 2972 839.4230
19302 66961 839.4570
94852 126348 839.4580
26304 62321 839.4620
80718 45434 839.4640
100018 56406 839.5250
83552 83812 839.5530
87547 54324 839.5760
96093 23935 839.5900
105433 28302 839.6140
20991 20666 839.6150
48262 95052 839.6730
20800 17928 839.7400
68373 54714 839.8460
90240 118629 839.8780
2209 34754 839.9030
86784 3693 839.9130
7476 85322 839.9250
80545 124036 839.9630
108833 124463 839.9670
72525 111301 839.9830
23927 30367 839.9920
39656 91127 840.0160
88009 7255 840.0310
78254 93266 840.0550
116553 41219 840.0640
34286 63432 840.0890
65445 39533 840.0920
76534 70570 840.1110
20729 30300 840.1400
86443 108942 840.2220
88270 50545 840.3000
68452 22905 840.3100
86665 103115 840.3190
75793 124370 840.3370
119457 38945 840.3890
4110 82370 840.4190
24817 30780 840.4290
4464 119007 840.5370
63441 47757 840.5700
520 31490 840.5970
79045 115661 840.7580
35265 30625 840.7810
34418 70256 840.8480
88787 121160 840.9830
32525 55479 841.0890
127064 58780 841.1350
77952 910 841.1670
18431 69999 841.1980
103888 93413 841.2290
62206 85915 841.2600
52155 14655 841.2630
9302 20460 841.2730
53139 44311 841.2930
31579 86814 841.3010
80797 104620 841.3070
71118 103463 841.3780
74222 36975 841.4240
183 103768 841.4280
81486 87155 841.4620
34306 105844 841.4720
61043 78618 841.4810
69425 13348 841.5050
32507 22970 841.5060
108725 58431 841.5260
49988 41051 841.5300
56327 2074 841.5860
127052 78094 841.6860
3666 75227 841.7180
42741 70919 841.7270
53712 122924 841.7700
48311 123796 841.8960
121750 77868 841.9280
61942 9859 841.9310
1364 21418 841.9950
105517 106276 842.0340
115431 90810 842.0450
70626 109150 842.0510
113174 33647 842.0630
80993 47220 842.1110
87144 69644 842.1270
65420 33339 842.1460
75105 5101 842.1770
89128 59414 842.2100
102931 95692 842.2510
20797 46495 842.2660
57301 94673 842.2810
57103 15308 842.2880
104263 32234 842.3690
22464 101033 842.3930
110696 107626 842.4190
42256 28892 842.5710
66214 36091 842.5930
57438 93359 842.7080
66193 42362 842.7150
120483 64833 842.8140
8438 109030 842.8340
123898 98987 842.8810
99710 37771 842.9460
71708 45016 842.9510
1331 97549 842.9550
86827 17419 842.9670
58655 100059 843.0720
112944 28884 843.1230
37736 92980 843.1800
25591 74822 843.2000
45320 94484 843.2110
30322 29176 843.2170
82096 83095 843.2260
108206 67064 843.2740
87671 22133 843.2790
113282 72544 843.3030
109520 4915 843.3290
100871 91451 843.3300
36 6028 843.3420
61965 67519 843.3740
4349 25527 843.4500
9831 105619 843.4770
47065 51131 843.4930
62756 38801 843.5520
15637 42045 843.6990
107866 106448 843.7070
106928 760 843.7270
37628 119996 843.7300
45181 27189 843.7600
15443 67388 843.7740
46929 93101 843.8110
90739 96390 843.8180
54710 1654 843.8380
51994 41494 843.8460
81392 82871 843.8540
22758 85485 843.8850
115105 38441 843.9060
34737 60083 843.9180
77363 120818 843.9200
92823 118146 843.9420
575 85089 843.9680
52437 17603 843.9900
68810 28451 844.0170
8235 44996 844.0250
104617 51578 844.0470
64150 73800 844.0960
113886 35315 844.1400
89256 9552 844.2400
8608 7421 844.2560
105780 109259 844.2700
125342 15905 844.3670
42575 14542 844.4000
127546 109442 844.4050
1222 18564 844.4490
36985 117286 844.5120
70021 35727 844.5700
128797 80437 844.5700
50166 30597 844.5800
79711 109823 844.5840
9469 34326 844.6330
63388 126453 844.6370
127883 85913 844.6380
117881 72705 844.6870
2359 43678 844.7480
56700 63520 844.8380
66142 84972 844.8640
51643 65637 844.8990
52886 12442 844.9080
77160 121806 844.9090
19707 5830 844.9490
119095 62987 845.0050
121805 127039 845.0150
6748 103705 845.0230
17565 79637 845.0690
97950 115897 845.0920
108974 71109 845.1150
12678 94437 845.1420
7386 44697 845.2770
25530 77290 845.3890
36770 38064 845.5080
49600 122241 845.5530
105326 23316 845.5880
66229 112586 845.5970
58639 105979 845.6510
108238 50182 845.7030
13855 120724 845.7250
7332 60879 845.7370
67929 93805 845.7420
71998 42843 845.7480
12519 640 845.7520
1554 25630 845.8700
16113 7130 845.9060
120803 91240 845.9670
5862 59923 846.0570
78525 120895 846.0610
62961 24578 846.1230
63346 125893 846.1230
118264 12227 846.1290
94377 20461 846.2290
12749 86950 846.2850
106700 18755 846.2880
110818 97127 846.3100
45624 77355 846.3720
92632 10648 846.4800
65553 8844 846.5160
70714 45579 846.5410
89657 42484 846.7180
54079 90595 846.7460
108843 61459 846.7540
44883 112605 846.7670
97810 30456 846.7730
69388 79507 846.9280
69285 37367 846.9370
76374 115503 846.9630
83292 28858 846.9670
105649 122882 847.0510
30689 28872 847.0790
16825 129089 847.1540
2142 65177 847.1840
32464 69060 847.3970
35134 26358 847.4260
90921 38910 847.5170
45734 11136 847.5350
128014 4281 847.5660
8458 46854 847.5680
36076 19841 847.5790
78522 82098 847.6190
22266 6108 847.6820
4489 97705 847.7070
41370 12586 847.7130
2214 113040 847.7280
78744 39996 847.7730
91712 31776 847.7870
121860 81329 847.8330
30300 125187 847.8800
124597 46884 847.8890
123465 98104 847.9210
86818 10827 847.9570
92890 123823 847.9890
11442 24245 848.0080
89641 88521 848.0500
101564 105147 848.0930
110339 72319 848.1070
121554 18072 848.1200
105236 102508 848.1340
54560 7560 848.1480
91301 121379 848.1850
7602 17043 848.1940
8874 18496 848.2450
97747 120910 848.3130
